tweet_id,time_created,url,username,text,likes,replies,retweets
1818796280271061297,2024-07-31 23:49:59+00:00,https://x.com/UGM_FESS/status/1818796280271061297,UGM_FESS,"Yujiem
Spill yang pantes ikut lombanya https://t.co/UCMC8VPiGh",23,64,0
1818788590845149341,2024-07-31 23:19:26+00:00,https://x.com/UGM_FESS/status/1818788590845149341,UGM_FESS,yujiem lebih enak war krs pake hp apa laptop?,73,28,2
1818781139668287498,2024-07-31 22:49:49+00:00,https://x.com/UGM_FESS/status/1818781139668287498,UGM_FESS,"sender udah ngisi edom dari beberapa hari yg lalu tapi sekarang blm bisa isi krs karena tertulis belum evaluasi dosen, itu gimana ya? apa cuma bisa nunggu aja? atau ada tempat buat lapornya? yujiem https://t.co/cbL3tTKvwn",0,3,0
1818771423491690592,2024-07-31 22:11:13+00:00,https://x.com/UGM_FESS/status/1818771423491690592,UGM_FESS,yujiem kalau udah dapet surat rujukan dari gmc buat ke psikiater rsa ugm berarti tinggal daftar ke sana kan ya?,2,1,0
1818766194385817866,2024-07-31 21:50:26+00:00,https://x.com/UGM_FESS/status/1818766194385817866,UGM_FESS,"Warga yujiem apakah ada yg pernah direspons saat menghubungi nomor telepon dan wa perpustakaan ugm? Sender setiap kontak nomor teleponnya nggak pernah diangkat, dikontak wa ngk pernah direspon balik https://t.co/ZwF3jph1OO",2,5,1
1818753219826532531,2024-07-31 20:58:53+00:00,https://x.com/UGM_FESS/status/1818753219826532531,UGM_FESS,Kulak yujiem... Preloved cepat barang kosan. Kalo yang mau komen ya nnt aku dm 🙏🙏 https://t.co/gcJlFGVFez,18,23,0
1818667357268750381,2024-07-31 15:17:41+00:00,https://x.com/UGM_FESS/status/1818667357268750381,UGM_FESS,"Haloooo teman-teman yang baik hati 🙌
Minta bantuannya buat luangin waktu sebentar isi kuisioner penelitianku dong ✨
Kriterianya :
1. Mahasiswa
2. Menggunakan media sosial
*Khususnya laki-laki* karena masih kurang partisipannya.
Berikut link pengisian kuisioner:

https://t.co/pepW3ygTdw

Akan ada reward berupa shopeepay sebesar 5k untuk setiap partisipan dengan syarat mengisi kuisioner dengan teliti, karena akan ada pertanyaan pemeriksaan perhatian (attention check questions) di akhir penelitian. Selain itu, bagi 4 orang beruntung akan mendapatkan reward sebesar 50k.

Terimakasih atas bantuannya, semoga teman-teman dilancarkan segala urusannya 😊

Jika memiliki pertanyaan lebih lanjut, dapat menghubungi:
WhatsApp : 0851 5709 5332 (Imalia)",6,0,0
1818649480289558609,2024-07-31 14:06:39+00:00,https://x.com/UGM_FESS/status/1818649480289558609,UGM_FESS,Halo teman-teman ugmfess. Mau tanya kalau punya pinjaman perpus (bukan denda tapi memang belum jadwalnya dikembalikan) bisa ikut KRS an nggak ya? Makasih https://t.co/ncf26TGgL4,1,4,0
1818629067584987196,2024-07-31 12:45:32+00:00,https://x.com/UGM_FESS/status/1818629067584987196,UGM_FESS,"Minta tolong fren, dibutuhkan responden untuk skripsi dengan kriteria yang ibunya single mother dan bekerja, yang beruntung akan mendapatkan reward berupa e-wallet.
Kalau bersedia nanti saya dm, makasih✨",8,31,1
1818626509042811381,2024-07-31 12:35:22+00:00,https://x.com/UGM_FESS/status/1818626509042811381,UGM_FESS,"ugm_fess haloo minta sarannya dong, kalau tinggi 150 bb 80, baiknya ambil ukuran apa ya? kalau aku mau ambil s aman ga ya? karena aku pendek dan semua ukuran lingkar badan dari s-xl sama 🥲 https://t.co/XdETTNO1r6",7,5,0
1818625946628624537,2024-07-31 12:33:08+00:00,https://x.com/UGM_FESS/status/1818625946628624537,UGM_FESS,"halo teman-teman yujiem minta tolong buat isi survey ini dong,
https://t.co/pwjzD3xhek
dikit aja kok ga sampe 5 menit, yang isi didoain  semoga krs nya berhasil mulus dan
menangg terimakasi🐣‼️",2,0,2
1818617687658140009,2024-07-31 12:00:19+00:00,https://x.com/UGM_FESS/status/1818617687658140009,UGM_FESS,"🌻🌻 Mohon bantuan untuk isi kuesioner ini, akan ada apresiasi untuk 20 orang beruntung nantinya 🫶",0,0,0
1818616347460509921,2024-07-31 11:55:00+00:00,https://x.com/UGM_FESS/status/1818616347460509921,UGM_FESS,"Hii, disini aku mau oper kost putri untuk bulan agustus. Lokasi dekat ugm. Fasilitas lengkap ada free laundry dan parkiran motor luas. Listrik pakai token. Aku mau oper 1,500K bisa nego tipis. Mau tanya2 bisa reply nnti aku dm. https://t.co/A5GIY0x1ow",0,2,0
1818613041183048051,2024-07-31 11:41:51+00:00,https://x.com/UGM_FESS/status/1818613041183048051,UGM_FESS,"Untuk maba dan temen temen mahasiswa yang ingin sarapan murah, kita sedia nasi rames nih, masakan rumahan dengan harga cuma 7k✨
Open PO buat besok pagi yaa..
Untuk pemesanan segera hubungi nomor 085156595631 https://t.co/h65zoZXti5",13,2,4
1818610461883162734,2024-07-31 11:31:36+00:00,https://x.com/UGM_FESS/status/1818610461883162734,UGM_FESS,"Gamada, cofas, perkap, keamanan, acara, semua yang pionir yuk merapat yukk!! siapkan amunisi buat closingan hari sabtuu. Mam sandwich sama mimik SULE biar gak gampang laper selama siapin formasi yang kewren ituhh😻✨ https://t.co/i1wwp5JLU6",18,6,5
1818566848184828347,2024-07-31 08:38:18+00:00,https://x.com/UGM_FESS/status/1818566848184828347,UGM_FESS,yujiem adakah yang sedang preloved rice cooker atau panci listrik? sender butuh bgt soalnya rusak barengan,3,6,0
1818560309797568723,2024-07-31 08:12:19+00:00,https://x.com/UGM_FESS/status/1818560309797568723,UGM_FESS,untuk tb 160 bb 50 mending ambil jas lab ukuran apa ya guys yujiem,0,11,0
1818560232051917193,2024-07-31 08:12:01+00:00,https://x.com/UGM_FESS/status/1818560232051917193,UGM_FESS,ugm_fess maaf kalau berbelit-belit tapi semoga kalian paham :( https://t.co/BMJCN2xpM3,132,14,3
1818560184467570977,2024-07-31 08:11:49+00:00,https://x.com/UGM_FESS/status/1818560184467570977,UGM_FESS,"Dijual cepat, barang anak kos buat maba juga sabi
Lokasi: jakal km 7
Pick up/gosend only
yang minat reply aja ya, nanti sender DM, thank u! https://t.co/vEOJj7deaO",2,0,0
1818556794341671380,2024-07-31 07:58:21+00:00,https://x.com/UGM_FESS/status/1818556794341671380,UGM_FESS,"Ada yg mau keliling sambil jajan sama sender ga? Sender cewe, mau cowo/cewe gas aja luv",11,8,0
1818556743259230288,2024-07-31 07:58:09+00:00,https://x.com/UGM_FESS/status/1818556743259230288,UGM_FESS,ugm_fess ada yang pernah bayar ukt lebih dari tgl 31 juli? itu masi bisa registrasi ga ya?,0,5,0
1818556143222096119,2024-07-31 07:55:46+00:00,https://x.com/UGM_FESS/status/1818556143222096119,UGM_FESS,ugm_fess kalau lolos PMW sama pernah lolos pkm (tapi ga lolos sampe ke PIMNAS) itu bisa dimasukin SKPI ga si?,2,0,0
1818554760599158902,2024-07-31 07:50:16+00:00,https://x.com/UGM_FESS/status/1818554760599158902,UGM_FESS,ugm_fess coba daftar volunteer ppk yay or nay??,2,4,0
1818548672470343798,2024-07-31 07:26:05+00:00,https://x.com/UGM_FESS/status/1818548672470343798,UGM_FESS,aku mau oper kost 2 bln mulai 20 agustus belakang mcd jakal 950k aja perbulannya nanti sisanya terusin ke ibu kos aja uda lengkap free listrik bangunan baru juga bisa nego tipis ya yujiem! https://t.co/D4VTkfvkjb,16,7,1
